Aktivasyon Fonksiyonu,Optimizer,Test Doğruluğu (%),Macro Precision,Macro Recall,Macro F1,Test Kayıp
softplus,ADAM,88.6,0.8967,0.8719,0.8798,0.4267
prelu,ADAM,87.53,0.8719,0.8719,0.8719,0.5307
softplus,SGD,86.24,0.8616,0.8544,0.8574,0.4800
elu,ADAM,86.24,0.8689,0.8487,0.8553,0.4306
relu,ADAM,85.81,0.8742,0.8393,0.8485,0.5811
prelu,SGD,84.52,0.8417,0.8396,0.8406,0.6495
arctan,ADAM,84.09,0.8418,0.8295,0.8339,0.4797
tanh,SGD,83.44,0.8307,0.8282,0.8294,0.5386
relu,SGD,76.99,0.8039,0.7363,0.7424,0.5019
arctan,SGD,76.77,0.7860,0.7872,0.7677,0.8026
tanh,ADAM,76.13,0.7747,0.7781,0.7612,0.5032
elu,SGD,68.6,0.6771,0.6755,0.6762,0.6049
ikili_adim,ADAM,62.37,0.6172,0.5776,0.5607,0.6527
lojistik,ADAM,61.94,0.7772,0.5469,0.4646,0.5981
ikili_adim,SGD,58.92,0.5664,0.5544,0.5470,0.6718
lojistik,SGD,58.06,0.2903,0.5000,0.3673,0.9959
kimlik,SGD,41.94,0.2097,0.5000,0.2955,nan
kimlik,ADAM,41.94,0.2097,0.5000,0.2955,111.6088
